listing_id,id,date,reviewer_id,reviewer_name,comments
1497879,21943405,2014-10-27,19785528,Jose Edwin,El apartamento está perfecto. Es tranquilo y está muy cerca de la ciudad y el aeropuerto. Recomendable.
1497879,22093757,2014-10-29,22488375,Kayla,"Sara was beyond nice and very helpful with allowing us to drop off our bags the morning before checkin with a small fee. Her place was clean and very comfortable, perfect for being able to fly out very seems least the next morning. Thank you so much again for our last minute request, the neighborhood was very safe and close to the T. I would definitely recommend anyone to stay here! "
1497879,22229170,2014-11-02,12920446,Tim,"We arrived on Friday night to be met by Sara.  Everything was perfect and Sara gave us the full tour of the apartment.   The apartment was a perfect retreat for us and Sara made us feel at home.  It is exactly as described.   As well, Sara gave us a rundown of the area and some good advice on local restaurants.
In fact, there are many excellent restaurants within minutes (walking) from the apartment and don’t forget to go to Maverick Square for some delicious pastries and coffee.
The apartment is very well situated within minutes of the “T”.
We had no trouble parking our car out front of the apartment and since it was the weekend we did not have to worry too much about moving it."
1497879,22382070,2014-11-04,22359208,Emily,Me and my friend stayed to Sara's apartment only one night. The apartment was amazing and Sara is helpful. She's a really good host and person! Thanks for all! ;)))
1497879,22435243,2014-11-06,22421241,Kori,Great host! Very accommodating to our late night arrival. Perfect location for travel from Boston-Logan airport. Sara provides additional information for the area to enhance your stay. 
1497879,22519460,2014-11-09,13781784,Victoria,"Sara was an awesome host. Unfortunately, I never got the chance to meet her, but she was responsive and very accommodating. The place looks like the pictures and is in an excellent location! She allowed my brother to leave his bags after check out time because he had a later flight. Thanks Sara for an awesome stay!"
1497879,22657673,2014-11-11,19205011,Cynthia,"Sara was very easy to communicate with and responsive over text.  The directions to her apartment were clear and accurate.  The blue line is very close by, and made access to downtown Boston very convenient. The apartment itself was just as advertised: plenty of space, private bathroom, laundry, and kitchenette in the main bedroom closet.  Another great thing about Sara's place: it is right around the corner from beautiful Piers Park, with amazing views of the city, a giant playground for kids, and lots of nice seating to watch the boats go by."
1497879,22825919,2014-11-16,10479323,Alexis,"Sara was a very laid-back person and easy to get along with. She gave great instructions on how to navigate the city. The apartment was in a good area close to the airport and close to the train station. Apartment was a good size, especially for two people. I found it difficult to sleep because there was this annoying dog who would bark for hours in the morning. It was also oddly colder in one room than the rest of the apartment."
1497879,22923346,2014-11-17,18608703,Desiree,Sara was very welcoming! We were thrilled to have a warmed and cozy room awaiting us after a late flight!  It is exactly as described! Very charming! We will definitely seek Sara out for an AirBnB stay for future Boston trips! 
1497879,22982721,2014-11-19,22338674,Xin,Great location both to downtown and the airport! Small but cozy. 
1497879,23202563,2014-11-25,18393676,Amanda,"Sara's place was perfect! It was everything I expected and the street it was on was beautiful! It was in a perfect location, just a short walk to the train station and not even a 5min ride into the heart of Boston. Great place to stay if you are looking for the true Boston feel! "
1497879,23557348,2014-12-04,5641949,Steve,Sara was great!  Her place was clean and easy to find.  The location was very convenient- ~3min from Logan Airport.  She was helpful and helping me find the place- very positive experience!
1497879,23906698,2014-12-14,22457896,Philip,Everything was fine! We didn't meet her personally but due to very good instructions it was very easy to get all things done. Apartment was tidy and everything was ready for us to sleep. We had plenty of room for our group and it was a pleasure to stay in her apartments which was just a couple of metres away from a perfect skyline view.
1497879,24065919,2014-12-18,23131792,Kathy,"Very nice place, comfortable and quiet with everything I needed. The location was perfect for getting to both downtown and the airport. Sara was an awesome host, very helpful."
1497879,24144995,2014-12-21,9405722,Judah,Great 
1497879,24249431,2014-12-23,13364415,Alexandre,"Mise à part Sarah qui a eu un contre temps et ne pouvais nous accueillir  avant 8:PM, Sarah et le logement était parfait, excellente location, parking possible de 17h jusque 10h du matin, proche d'un parc avec la meilleurs vue sur downtown Boston. Je recommande!

Except that Sarah was not ready until 8PM due to her work, everything was perfect, she was really nice and helpful then the location was really nice with lot of parkings facilities. we greatly recommend her for your visitation in Boston !"
1497879,24789782,2015-01-02,19593921,Juan,"The experience was great: close to the subway, spacious, clean! The place was very well organized and the host was quick to respond"
1497879,25184528,2015-01-08,13281970,Judy,"Sara let me in and showed me around my little home for the next 3 days.  She was a gracious hostess.  Everything was spic and span and nicely decorated.  Bed very comfortable and amenities plentiful.  Loved the tiny ""kitchen"" in the closet. Neighborhood was great from the amazing view of Boston skyline from Pier's Park to the great coffee and breakfast sandwiches at Boston Brewin just a few blocks away at 154 Maverick.  And very quiet.  Maverick station a short walk and therefore easy to get to Boston or the airport.  I highly recommend it."
1497879,25289976,2015-01-11,25472496,Jillian,"Sara was a wonderful host. She was full of information about the area. The place was great! Lots of space and very close to the T subway station. Also, Sara has provided many perks such as a coffee, toiletries, DVD player with movies, etc. (Good Will Hunting was perfect for our Boston trip!). I highly recommend staying at her location if you are looking for a homey, private place to stay. 

Sara - Thank you again for the great hospitality! "
1497879,25661317,2015-01-22,17488967,Francisco,Very nice and clean place. We had a really good stay at Sara's apartment.
1497879,25734150,2015-01-24,3606549,Yosuke,"Sara's place was great! She has everything you'll need. She even created a guest binder with lots of useful info. I recommend staying at her place to anyone. So close to the airport, too."
1497879,25780475,2015-01-25,26545437,Allyson,"Sara was an excellent host. She provided great instructions for how to check in and check out, making it a breeze. She was very welcoming with an informative binder providing tips for how to enjoy the city! The apartment is as it appears in the pictures, very neat and tidy. There were two of us and Sara had a separate bed set up and ready for us when we arrived. The neighbourhood also felt safe and was extremely convenient for hopping on the T to the downtown core, or to the airport stop on the Blue line to catch the free shuttle to our terminal."
1497879,26077353,2015-02-02,26178900,Judy,Sara was extremely accommodating and made this a very positive first experience with airbnb. She graciously answered my many questions. The bed was very comfortable and the location was excellent for going to and from the airport as well as downtown.
1497879,26123797,2015-02-03,8349172,Kelly,Great access to the airport.  Our flight was delayed a day Sara's place was cozy and a good place to hunker down in a snow storm. It is a basement apt. but has nice personal touch.  Appreciate the coffee and oatmeal etc. We would stay again. Thank you Sarah!
1497879,26587495,2015-02-16,11860109,Paul,"made to feel really welcome,and was given full information about the apartment and area. it was a shame that there was so much snow with more expected so couldn't appreciate the area. It was close to the MBTA so could get to downtown and back to the airport very easily. very comfortable apartment, with coffee machine microwave and fridge. great italian restaurant round the corner. thank you sara for a great visit thanks also for the comprehensive visitor folder"
1497879,26767711,2015-02-18,21267240,Molly,"Very comfortable apartment, exactly as described. The bed is super comfy, lots of warm blankets and a really nice mattress.
Sara was very easy to communicate with, very responsive by email & by phone. We were there for 2 days - checking in and out was very easy. Great neighborhood, very close to Maverick Sq"
1497879,26807943,2015-02-19,26295233,Yutao,"Sara was super accommodating and helpful. Our flight was delayed and she made sure everything was OK and waited until we got there safe and sound. She gave us lots of useful tips on the neighborhood and tours around Boston.

The place was just a few minutes walk to the T. The rooms are clean and warm. Sara even prepared 2 electric heaters for us just in case the apartment heating wasn't enough.

Thanks Sara! I would definitely stay there again.
"
1497879,27205192,2015-02-28,6720024,John,"Sara's downstairs apartment was great for my 3 day visit. It's very clean and the bed was perfect. Quiet apt and quiet neighborhood. The walk to Maverick Sq for the T was indeed 5 min max. Visitors should note that the Maverick T stop is only one stop from Logan airport, so you can't get more convenient than that. Sara was available to help whenever I had a question and was responsive to all my messages. Overall, an A+ experience for me."
1497879,27421441,2015-03-03,8987150,Jet,"We needed a place to stay in east Boston on very short notice. Sara responded to my request within 20 minutes and made the effort to arrange the check-inn that evening, thanks Sara! The apartment was nice and big and included everything we needed. It was very cold and the heating was not working properly, but Sara made sure we would not get cold. She put Spaceheaters in the room and extra sheets on the bed.
We enjoyed our stay!
"
1497879,27436310,2015-03-04,1159255,Ellen,Room was as pictured and Sara is easy to deal with.
1497879,27644420,2015-03-09,3949036,Megan,Sara was GREAT! We arrived a little earlier than expected but she was super accommodating! Her place is really cute and we were very thankful for the spare toothbrush she had out! We had totally forgotten ours at the last place! Thanks again!
1497879,27931376,2015-03-15,18456186,Raymund,"Sara was a great host. She is very clear when giving instructions which made the process very smooth. She definitely seems like an experienced host.

Her apartment is much larger than i expected and can very comfortably fit 4 people.  It's also right by the maverick train station making it very easy to get around boston."
1497879,28099665,2015-03-17,21890712,Jordan,"Highly recommend! Unfortunately we weren't able to meet Sara personally, but she was an excellent host! Her apartment was very nice, SUPER close to the Blue Line, and very well maintained! She was very communicative and helpful with us."
1497879,28148401,2015-03-18,21323945,Denise,"Sara's place was cute, comfortable and super convenient. Just the right spot to stay close to everything in Boston for St. Patrick's Day. She wasn't there when we arrived, but made sure we could access the apartment via lock box. We had a great time!  "
1497879,28298706,2015-03-22,10262635,Christina,Great stay! Sara was so nice and had everything ready for us. The bed and futon were both comfy enough. This locations proximity to the train station was perfect for us. No trouble parking in this neighborhood either. I would definitely come back. Thank you!
1497879,28596989,2015-03-27,24057538,Cihan,"The description in the advertisement was excellent. Sara's instructions, the very useful manual she prepared for us, the coziness of the apartment and the many many amenities made us feel home. The neighborhood is clean, safe and quite. The metro is just three minutes away. Downtown Boston is just 10-15 mins away. The airport is also very close by (15 to 30 mins in total). Great experience! I very much recommend this apartment!"
1497879,29073663,2015-04-03,29939557,David,"Sara was great...showed us around the apt as soon as we arrived. Everything looked like the pictures...very nice.  Comfortable, and with lots of nice little extras. My only complaints are minor. The wi-fi had some problems and cut off at times. Also, because we were there on a Thursday when they do street cleaning I had to get up very early to move my car and it took quite awhile to find a spot. This is not under Sara's control of course. Overall, a very nice experience!"
